"MALACARDS_CLASS"	"MALACARDS_DISEASE"	"PHENOPEDIA_INDEX"	"PHENOPEDIA_GENE"			
"P"	"Bipolar Disorder"	287	"Bipolar Disorder(C0005586)"			
"P"	"Frontotemporal Dementia"	937	"Frontotemporal Dementia(C0338451)"			
"P"	"Alzheimer's Disease"	108	"Alzheimer Disease(C0002395)"			
"P"	"Amyotrophic Lateral Sclerosis with Frontotemporal Dementia"	120	"Amyotrophic Lateral Sclerosis(C0002736)"			
"P"	"Alopecia Mental Retardation Syndrome 2"	100	"NO MATCH"			
"P"	"Renpenning Syndrome"		"NO MATCH"			
"P"	"Baraitser-Winter Syndrome 1"		"NO MATCH"			
"P"	"Amyotrophic Lateral Sclerosis-Parkinsonism/dementia Complex"	120	"Amyotrophic Lateral Sclerosis(C0002736)"			
"P"	"Syndactyly Type 1 with Cataracts and Mental Retardation"		"NO MATCH"			
"P"	"Rett Syndrome"	2254	"Rett Syndrome(C0035372)"			
"P"	"Focal Segmental Glomerulosclerosis"		"NO MATCH"			
"P"	"Mental Retardation"	" X-Linked"	" Syndromic 15"	1616	"Mental Retardation"	" X-Linked(C1136249)"
"P"	"Spinocerebellar Ataxia Type 6"	2414	"Spinocerebellar Ataxias(C0087012)"			
"P"	"Spinocerebellar Ataxia X-Linked Type 3"	2414	"Spinocerebellar Ataxias(C0087012)"			
"P"	"Mental Health Wellness-1"		"NO MATCH"			
"P"	"Mental Retardation Progressive Spasticity"	1615	"Mental Retardation(C0025362)"			
"P"	"Creutzfeldt-Jakob Disease"	593	"Creutzfeldt-Jakob Syndrome(C0022336)"			
"P"	"Intellectual Disability"	664	"Developmental Disabilities(C0008073)"			
"P"	"Parkinson's Disease"	1960	"Parkinson Disease(C0030567)"			
"P"	"Rubinstein-Taybi Syndrome"	2276	"Rubinstein-Taybi Syndrome(C0035934)"			
"P"	"Alexander Disease"		"NO MATCH"			
"P"	"Pitt-Hopkins Syndrome"		"NO MATCH"			
"P"	"Mental Retardation"	" X-Linked 3"	1616	"Mental Retardation"	" X-Linked(C1136249)"	
"P"	"Cerebellar Ataxia"	" Mental Retardation"	" and Dysequilibrium Syndrome 4"	439	"Cerebellar Ataxia(C0007758)"	
"P"	"Fucosidosis"		"NO MATCH"			
"P"	"Coffin-Siris Syndrome"		"NO MATCH"			
"P"	"Warburg Micro Syndrome 1"	1615	"Mental Retardation(C0025362)"			
"P"	"Marinesco-Sjögren Syndrome"		"NO MATCH"			
"P"	"Mental Retardation"	" Autosomal Recessive 43"	1615	"Mental Retardation(C0025362)"		
"P"	"Microphthalmia Syndromic 6"		"NO MATCH"			
"P"	"Biemond Syndrome"		"NO MATCH"			
"P"	"Metaphyseal Anadysplasia 1"		"NO MATCH"			
"P"	"Schizophrenia"	2298	"Schizophrenia(C0036341)"			
"P"	"Narcolepsy"	1740	"Narcolepsy(C0027404)"			
"P"	"Panic Disorder"	1931	"Panic Disorder(C0030319)"			
"P"	"Personality Disorder"	2010	"Personality Disorders(C0031212)"			
"P"	"Alcohol Abuse"	98	"Alcoholism(C0001973)"			
"P"	"Major Depressive Disorder"	655	"Depressive Disorder"	" Major(C1269683)"		
"P"	"Central Sleep Apnea"	2374	"Sleep Apnea"	" Central(C0520680)"		
"P"	"Pain Disorder"	550	"Complex Regional Pain Syndromes(C0458219)"			
"P"	"Recurrent Hypersomnia"	1231	"Hypersomnolence"	" Idiopathic(C0751757)"		
"P"	"Acute Orbital Inflammation"		"NO MATCH"			
"P"	"Fragile X Syndrome"	934	"Fragile X Syndrome(C0016667)"			
"P"	"Mowat-Wilson Syndrome"		"NO MATCH"			
"P"	"Spastic Paraplegia 1"	2400	"Spastic Paraplegia"	" Hereditary(C0037773)"		
"P"	"Alpha-Thalassemia/mental Retardation Syndrome"		"NO MATCH"			
"P"	"Polycystic Lipomembranous Osteodysplasia with Sclerosing Leukoencephalopathy"		"NO MATCH"			
"P"	"Amyotrophic Lateral Sclerosis"	120	"Amyotrophic Lateral Sclerosis(C0002736)"			
"P"	"Hyperphosphatasia with Mental Retardation Syndrome 1"		"NO MATCH"			
"P"	"Hereditary Diffuse Leukoencephalopathy with Spheroids"	1475	"Leukoencephalopathies(C0270612)"			
"P"	"Sjogren-Larsson Syndrome"		"NO MATCH"			
"P"	"Prader-Willi Syndrome"	2089	"Prader-Willi Syndrome(C0032897)"			
"P"	"Alpha Thalassemia"		"NO MATCH"			
"P"	"Simpson-Golabi-Behmel Syndrome Type 1"		"NO MATCH"			
"P"	"2q37 Microdeletion Syndrome"		"NO MATCH"			
"P"	"Anorexia Nervosa"	158	"Anorexia Nervosa(C0003125)"			
"P"	"Familial Advanced Sleep Phase Syndrome 1"		"NO MATCH"			
"P"	"Weaver Syndrome"		"NO MATCH"			
"P"	"Fukuyama Type Muscular Dystrophy"		"NO MATCH"			
"NONE"	"Mental Retardation-Hypotonic Facies Syndrome X-Linked, 1"		"NO MATCH"			
"NONE"	"Lewy Body Dementia"	1480	"Lewy Body Disease(C0752347)"			
"NONE"	"Prieto X-Linked Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Partington X-Linked Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Dementia Familial British"		"NO MATCH"			
"NONE"	"Dementia, Familial Danish"		"NO MATCH"			
"NONE"	"Wilson-Turner X-Linked Mental Retardation Syndrome"	2590	"Turner Syndrome(C0041408)"			
"NONE"	"Parkinsonism, Early Onset with Mental Retardation"		"NO MATCH"			
"NONE"	"Hypogonadism, Alopecia, Diabetes Mellitus, Mental Retardation, and Extrapyramidal Syndrome"		"NO MATCH"			
"NONE"	"Frontotemporal Dementia with Parkinsonism-17"	937	"Frontotemporal Dementia(C0338451)"			
"NONE"	"Miles-Carpenter X-Linked Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Schimke X-Linked Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Cadasil"	365	"CADASIL(C0751587)"			
"NONE"	"Alopecia, Epilepsy, Pyorrhea, Mental Subnormality"		"NO MATCH"			
"NONE"	"Mental Retardation Mietens Weber Type"		"NO MATCH"			
"NONE"	"Hypospadias Mental Retardation Goldblatt Type"	1268	"Hypospadias(C0848558)"			
"NONE"	"Mental Retardation Spasticity Ectrodactyly"	1615	"Mental Retardation(C0025362)"			
"NONE"	"Mental Retardation Wolff Type"	1615	"Mental Retardation(C0025362)"			
"NONE"	"Vascular Dementia"		"NO MATCH"			
"NONE"	"Psychotic Disorder"	2166	"Psychotic Disorders(C0033975)"			
"NONE"	"Mood Disorder"	1652	"Mood Disorders(C0525045)"			
"NONE"	"Alopecia Contractures Dwarfism Mental Retardation"	"\"	"NO MATCH"			
"NONE"	"Binswanger's Disease"		"NO MATCH"			
"NONE"	"Mental Retardation X-Linked with Cerebellar Hypoplasia and Distinctive Facial Appearance"		"NO MATCH"			
"NONE"	"Birk-Barel Syndrome"		"NO MATCH"			
"NONE"	"Radioulnar Synostosis with Microcephaly, Short Stature, Scoliosis, and Mental Retardation"		"NO MATCH"			
"NONE"	"Abidi X-Linked Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Coloboma, Cleft Lip/palate and Mental Retardation Syndrome"	532	"Coloboma(C0009363)"			
"NONE"	"Plagiocephaly and X-Linked Mental Retardation"		"NO MATCH"			
"NONE"	"Microphthalmia Mental Deficiency"	1633	"Microphthalmos(C0026010)"			
"NONE"	"Ulna Hypoplasia with Mental Retardation"		"NO MATCH"			
"NONE"	"Semantic Dementia"		"NO MATCH"			
"NONE"	"Mental Retardation, Epileptic Seizures, Hypogonadism and Hypogenitalism, Microcephaly, and Obesity"		"NO MATCH"			
"NONE"	"Frontotemporal Dementia, Ubiquitin-Positive"	937	"Frontotemporal Dementia(C0338451)"			
"NONE"	"Retinopathy Pigmentary Mental Retardation"		"NO MATCH"			
"NONE"	"X-Linked Mental Retardation Type Wittwer"		"NO MATCH"			
"NONE"	"Sclerosing Bone Dysplasia Mental Retardation"		"NO MATCH"			
"NONE"	"White Matter Hypoplasia, Corpus Callosum Agenesia, and Mental Retardation"		"NO MATCH"			
"NONE"	"Pachygyria with Mental Retardation and Seizures"		"NO MATCH"			
"NONE"	"Pterygia, Mental Retardation and Distinctive Craniofacial Features"		"NO MATCH"			
"NONE"	"Hair Defect with Photosensitivity and Mental Retardation"		"NO MATCH"			
"NONE"	"Amyloidosis of Gingiva and Conjunctiva, with Mental Retardation"		"NO MATCH"			
"NONE"	"Paranoid Schizophrenia"	2302	"Schizophrenia, Paranoid(C0036349)"			
"NONE"	"Aids Dementia Complex"	79	"AIDS Dementia Complex(C0001849)"			
"NONE"	"Christianson Syndrome"		"NO MATCH"			
"NONE"	"Snyder-Robinson Syndrome"		"NO MATCH"			
"NONE"	"Dementia"	636	"Dementia(C0497327)"			
"NONE"	"Disease of Mental Health"		"NO MATCH"			
"NONE"	"Megalocornea Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation Skeletal Dysplasia Abducens Palsy"		"NO MATCH"			
"NONE"	"Mental Retardation Smith Fineman Myers Type"		"NO MATCH"			
"NONE"	"Dwarfism, Mental Retardation and Eye Abnormality"		"NO MATCH"			
"NONE"	"Ectodermal Dysplasia Mental Retardation Syndactyly"		"NO MATCH"			
"NONE"	"Polyneuropathy Mental Retardation Acromicria Premature Menopause"		"NO MATCH"			
"NONE"	"Microcephaly Seizures Mental Retardation Heart Disorders"		"NO MATCH"			
"NONE"	"Spastic Paraplegia Epilepsy Mental Retardation"	816	"Epilepsy(C0014544)"			
"NONE"	"Aortic Arch Anomaly with Peculiar Facies and Mental Retardation"		"NO MATCH"			
"NONE"	"Metaphyseal Dysostosis Mental Retardation Conductive Deafness"		"NO MATCH"			
"NONE"	"Presenile Dementia, Kraepelin Type"		"NO MATCH"			
"NONE"	"Retinitis Pigmentosa, Deafness, Mental Retardation, and Hypogonadism"		"NO MATCH"			
"NONE"	"Mental Retardation Syndrome, Belgian Type"		"NO MATCH"			
"NONE"	"Patella Hypoplasia Mental Retardation"		"NO MATCH"			
"NONE"	"Spastic Quadriplegia Retinitis Pigmentosa Mental Retardation"		"NO MATCH"			
"NONE"	"Spondyloepimetaphyseal Dysplasia X-Linked with Mental Deterioration"		"NO MATCH"			
"NONE"	"Dementia, Familial, Nonspecific"		"NO MATCH"			
"NONE"	"Dysequilibrium Syndrome"		"NO MATCH"			
"NONE"	"Gillespie Syndrome"		"NO MATCH"			
"NONE"	"Morm Syndrome"		"NO MATCH"			
"NONE"	"Dermoodontodysplasia"		"NO MATCH"			
"NONE"	"Borjeson-Forssman-Lehmann Syndrome"		"NO MATCH"			
"NONE"	"Pcdh19-Related Female-Limited Epilepsy"		"NO MATCH"			
"NONE"	"Gerstmann-Straussler-Scheinker Syndrome"		"NO MATCH"			
"NONE"	"Juberg Marsidi Syndrome"		"NO MATCH"			
"NONE"	"Inclusion Body Myopathy with Paget Disease of Bone and/or Frontotemporal Dementia"		"NO MATCH"			
"NONE"	"Organic Mood Syndrome"		"NO MATCH"			
"NONE"	"Cataracts, Ataxia, Short Stature, and Mental Retardation"		"NO MATCH"			
"NONE"	"Cohen Hayden Syndrome"		"NO MATCH"			
"NONE"	"Epidermolysis Bullosa, Late-Onset Localized Junctional, with Mental Retardation"		"NO MATCH"			
"NONE"	"Scott Bryant Graham Syndrome"		"NO MATCH"			
"NONE"	"X-Linked Mental Retardation Craniofacial Abnormal Microcephaly Club"		"NO MATCH"			
"NONE"	"Cahmr Syndrome"		"NO MATCH"			
"NONE"	"Diabetes Insipidus Nephrogenic Mental Retardation and Intracerebral Calcification"		"NO MATCH"			
"NONE"	"Ichthyosis Alopecia Eclabion Ectropion Mental Retardation"		"NO MATCH"			
"NONE"	"Macrocephaly, Mental Retardation, Short Stature, Spastic Paraplegia and Cns Malformations"		"NO MATCH"			
"NONE"	"Mental Retardation Short Stature Microcephaly Eye"		"NO MATCH"			
"NONE"	"Macrogyria, Pseudobulbar Palsy and Mental Retardation"		"NO MATCH"			
"NONE"	"Mental Retardation Short Stature Deafness Genital"		"NO MATCH"			
"NONE"	"Choroid Plexus Calcification with Mental Retardation"		"NO MATCH"			
"NONE"	"Craniosynostosis Mental Retardation Clefting Syndrome"		"NO MATCH"			
"NONE"	"Dandy-Walker Malformation with Mental Retardation, Macrocephaly, Myopia and Brachytelephalangy"		"NO MATCH"			
"NONE"	"Fallot Complex with Severe Mental and Growth Retardation"		"NO MATCH"			
"NONE"	"Mental Retardation, Macrocephaly, Short Stature and Craniofacial Dysmorphism"		"NO MATCH"			
"NONE"	"Thumb Stiff Brachydactyly Mental Retardation"		"NO MATCH"			
"NONE"	"Mental Retardation-Hypotonic Facies Syndrome, X-Linked"		"NO MATCH"			
"NONE"	"Acrodysostosis"		"NO MATCH"			
"NONE"	"Kohlschutter Tonz Syndrome"		"NO MATCH"			
"NONE"	"Dementia Pugilistica"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, Syndromic, Nascimento Type"		"NO MATCH"			
"NONE"	"15q13.3 Microdeletion"		"NO MATCH"			
"NONE"	"Filippi Syndrome"		"NO MATCH"			
"NONE"	"X-Linked Syndromic Mental Retardation, Claes-Jensen Type"		"NO MATCH"			
"NONE"	"Okamoto Syndrome"		"NO MATCH"			
"NONE"	"Agenesis of the Corpus Callosum with Mental Retardation, Ocular Coloboma, and Micrognathia"		"NO MATCH"			
"NONE"	"X-Linked Creatine Deficiency"		"NO MATCH"			
"NONE"	"Alopecia - Epilepsy - Pyorrhea - Intellectual Disability"		"NO MATCH"			
"NONE"	"Childhood Disintegrative Disease"		"NO MATCH"			
"NONE"	"Stocco Dos Santos Syndrome"		"NO MATCH"			
"NONE"	"Atkin Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, Syndromic, Turner Type"		"NO MATCH"			
"NONE"	"Mental Retardation Epilepsy"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, Syndromic, Raymond Type"		"NO MATCH"			
"NONE"	"Frontotemporal Dementia, Chromosome 3-Linked"		"NO MATCH"			
"NONE"	"Hyde Forster Mccarthy Berry Syndrome"		"NO MATCH"			
"NONE"	"Growth and Mental Retardation, Mandibulofacial Dysostosis, Microcephaly, and Cleft Palate"		"NO MATCH"			
"NONE"	"Intellectual Deficit Buenos-Aires Type"		"NO MATCH"			
"NONE"	"Wright Dyck Syndrome"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, with Short Stature, Small Testes, Muscle Wasting, and Tremor"		"NO MATCH"			
"NONE"	"Spastic Paresis Glaucoma Mental Retardation"		"NO MATCH"			
"NONE"	"Mental Retardation, X-Linked, with Growth Hormone Deficiency"		"NO MATCH"			
"NONE"	"Inclusion Body Myopathy Wtih Early-Onset Paget Disease Without Frontotemporal Dementia 3"		"NO MATCH"			
"NONE"	"Prolonged Bleeding Time, Brachydactyly and Mental Retardation"		"NO MATCH"			
"NONE"	"Drug-Induced Mental Disorder"		"NO MATCH"			
"NONE"	"Aldred Syndrome"		"NO MATCH"			
"NONE"	"Cutis Verticis Gyrata Mental Deficiency"		"NO MATCH"			
"NONE"	"Slc9a6-Related Syndromic Mental Retardation"		"NO MATCH"			
"NONE"	"Mental Retardation, Keratoconus, Febrile Seizures, and Sinoatrial Block"		"NO MATCH"			
"NONE"	"Akesson Syndrome"		"NO MATCH"			
"NONE"	"Tranebjaerg Svejgaard Syndrome"		"NO MATCH"			
"NONE"	"Cataract Mental Retardation Hypogonadism"		"NO MATCH"			
"NONE"	"Postaxial Polydactyly Mental Retardation"		"NO MATCH"			
"NONE"	"Hirsutism Skeletal Dysplasia Mental Retardation"		"NO MATCH"			
"NONE"	"Ichthyosis-Mental Retardation Syndrome with Large Keratohyalin Granules in the Skin"		"NO MATCH"			
"NONE"	"Mental Retardation Hypotonia Skin Hyperpigmentation"		"NO MATCH"			
"NONE"	"Short Stature Abnormal Skin Pigmentation Mental Retardation"		"NO MATCH"			
"NONE"	"Brachydactyly Mesomelia Mental Retardation Heart Defects"		"NO MATCH"			
"NONE"	"Congenital Heart Disease Radio Ulnar Synostosis Mental Retardation"		"NO MATCH"			
"NONE"	"Craniodigital Syndrome Mental Retardation"		"NO MATCH"			
"NONE"	"Craniostenosis with Congenital Heart Disease Mental Retardation"		"NO MATCH"			
"NONE"	"Craniosynostosis Mental Retardation Heart Defects"		"NO MATCH"			
"NONE"	"Hypoparathyroidism Short Stature Mental Retardation"		"NO MATCH"			
"NONE"	"Short Stature Mental Retardation Eye Anomalies"		"NO MATCH"			
"NONE"	"Aniridia Ptosis Mental Retardation Obesity Familial"		"NO MATCH"			
"NONE"	"Corneal Anesthesia Deafness Mental Retardation"		"NO MATCH"			
"NONE"	"Diabetes Hypogonadism Deafness Mental Retardation"		"NO MATCH"			
"NONE"	"Hepatic Fibrosis Renal Cysts Mental Retardation"		"NO MATCH"			
"NONE"	"Hypogonadism Male Mental Retardation Skeletal Anomaly"		"NO MATCH"			
"NONE"	"Leukomelanoderma Mental Redardation Hypotrichosis"		"NO MATCH"			
"NONE"	"Mental Retardation Epilepsy Bulbous Nose"		"NO MATCH"			
"NONE"	"Myotonia Mental Retardation Skeletal Anomalies"		"NO MATCH"			
"NONE"	"Schizophrenia Mental Retardation Deafness Retinitis"		"NO MATCH"			
"NONE"	"Shoulder Girdle Defect Mental Retardation Familial"		"NO MATCH"			
"NONE"	"Angiokeratoma Mental Retardation Coarse Face"		"NO MATCH"			
"NONE"	"Aniridia Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Arachnodactyly Mental Retardation Dysmorphism"		"NO MATCH"			
"NONE"	"Arthrogryposis, Distal, with Hypopituitarism, Mental Retardation, and Facial Anomalies"		"NO MATCH"			
"NONE"	"Brachydactyly Dwarfism Mental Retardation"		"NO MATCH"			
"NONE"	"Cleft Lip Palate Mental Retardation Corneal Opacity"		"NO MATCH"			
"NONE"	"Corneal Dystrophy Ichthyosis Microcephaly Mental Retardation"		"NO MATCH"			
"NONE"	"Cortical Blindness Mental Retardation Polydactyly"		"NO MATCH"			
"NONE"	"Craniosynostosis-Mental Retardation Syndrome of Lin and Gettig"		"NO MATCH"			
"NONE"	"Cryptorchidism Arachnodactyly Mental Retardation"		"NO MATCH"			
"NONE"	"Duane Anomaly Mental Retardation"		"NO MATCH"			
"NONE"	"Dysmorphism Abnormal Vocalization Mental Retardation"		"NO MATCH"			
"NONE"	"Ectodermal Dysplasia Mental Retardation Cns Malformation"		"NO MATCH"			
"NONE"	"Epilepsy Mental Deterioration Finnish Type"		"NO MATCH"			
"NONE"	"Goniodysgenesis Mental Retardation Short Stature"		"NO MATCH"			
"NONE"	"Growth Retardation Mental Retardation Phalangeal Hypoplasia"		"NO MATCH"			
"NONE"	"Hall Riggs Mental Retardation Syndrome"		"NO MATCH"			
"NONE"	"Hypertrichosis, Hyperkeratosis, Mental Retardation, and Distinctive Facial Features"		"NO MATCH"			
"NONE"	"Hypogonadism Mitral Valve Prolapse Mental Retardation"		"NO MATCH"			
"NONE"	"Hypothyroidism Postaxial Polydactyly Mental Retardation"		"NO MATCH"			
"NONE"	"Laryngeal Abductor Paralysis Mental Retardation"		"NO MATCH"			
"NONE"	"Marfanoid Mental Retardation Syndrome Autosomal"		"NO MATCH"			
"NONE"	"Mental Retardation Anophthalmia Craniosynostosis"		"NO MATCH"			
"NONE"	"Mental Retardation Arachnodactyly Hypotonia Telangiectasia"		"NO MATCH"			
"NONE"	"Mental Retardation Athetosis Microphthalmia"		"NO MATCH"			
"NONE"	"Mental Retardation Cataracts Calcified Pinnae Myopathy"		"NO MATCH"			
"NONE"	"Mental Retardation Coloboma Slimness"		"NO MATCH"			
"NONE"	"Mental Retardation Dysmorphism Hypogonadism Diabetes"		"NO MATCH"			
"NONE"	"Mental Retardation Gynecomastia Obesity X-Linked"		"NO MATCH"			
"NONE"	"Mental Retardation Hip Luxation G6pd Variant"		"NO MATCH"			
"NONE"	"Mental Retardation Hypocupremia Hypobetalipoproteinemia"		"NO MATCH"			
"NONE"	"Mental Retardation Macrocephaly Coarse Facies Hypotonia"		"NO MATCH"			
"NONE"	"Mental Retardation Microcephaly Phalangeal Facial"		"NO MATCH"			
"NONE"	"Mental Retardation Microcephaly Unusual Facies"		"NO MATCH"			
"NONE"	"Mental Retardation X-Linked Borderline Maoa Metabolism Anomaly"		"NO MATCH"			
"NONE"	"Mental Retardation X-Linked Dysmorphism"		"NO MATCH"			
"NONE"	"Mental Retardation X-Linked, South African Type"		"NO MATCH"			
"NONE"	"Mental Retardation-Polydactyly-Uncombable Hair"		"NO MATCH"			
"NONE"	"Microcephaly Sparse Hair Mental Retardation Seizures"		"NO MATCH"			
"NONE"	"Multiple Congenital Anomalies Mental Retardation, Growth Failure and Cleft Lip Palate"		"NO MATCH"			
"NONE"	"Myopathy Growth and Mental Retardation Hypospadias"		"NO MATCH"			
"NONE"	"Opthalmoplegia Mental Retardation Lingua Scrotalis"		"NO MATCH"			
"NONE"	"Pericardium Absent Mental Retardation Short Stature"		"NO MATCH"			
"NONE"	"Pterygium Colli Mental Retardation Digital Anomalies"		"NO MATCH"			
"NONE"	"Ptosis Coloboma Mental Retardation"		"NO MATCH"			
"NONE"	"Seizures Mental Retardation Hair Dysplasia"		"NO MATCH"			
"NONE"	"Severe Mental Retardation and Absent Nails of Hallux and Pollex"		"NO MATCH"			
"NONE"	"Sparse Hair Ptosis Mental Retardation"		"NO MATCH"			
"NONE"	"Stargardt Macular Degeneration Absent or Hypoplastic Corpus Callosum Mental Retardation and Dysmorphic Features"		"NO MATCH"			
"NONE"	"Vitiligo Mental Retardation Facial Dysmorphism Uremia"		"NO MATCH"			
"NONE"	"X-Linked Mental Retardation De Silva Type"		"NO MATCH"			
"NONE"	"X-Linked Mental Retardation Type Martinez"		"NO MATCH"			
"NONE"	"X-Linked Mental Retardation Type Raynaud"		"NO MATCH"			
"NONE"	"X-Linked Mental Retardation Type Schutz"		"NO MATCH"			
"NONE"	"Somatoform Disorder"	2395	"Somatoform Disorders(C0037650)"			
"NONE"	"Developmental Disabilities"		"TOO GENERAL"			
"NONE"	"Paranoid Personality Disorder"	1947	"Paranoid Disorders(C1456784)"			
"NONE"	"Dementia - Subcortical"		"NO MATCH"			
"NONE"	"Mental Retardation"		"NO MATCH"			
"NONE"	"Dentatorubral-Pallidoluysian Atrophy"		"NO MATCH"			
"NONE"	"Dubowitz Syndrome"		"NO MATCH"			
"NONE"	"Nicolaides Baraitser Syndrome"		"NO MATCH"			
"NONE"	"Myhre Syndrome"		"NO MATCH"			
